# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 346 2 11 64769 529924 3 /var/www/knoxxaibot_v1/node_modules/dotenv/config.d.ts
DUPTYPE_WITHIN_SAME_TREE -346 4 11 64769 540460 3 /var/www/knoxxaibot_v1/node_modules/form-data-encoder/lib/esm/FormDataLike.js
DUPTYPE_WITHIN_SAME_TREE -346 4 11 64769 540461 3 /var/www/knoxxaibot_v1/node_modules/form-data-encoder/lib/esm/FileLike.js
DUPTYPE_WITHIN_SAME_TREE -346 4 11 64769 540546 3 /var/www/knoxxaibot_v1/node_modules/formdata-node/lib/esm/BlobPart.js
DUPTYPE_FIRST_OCCURRENCE 685 2 13 64769 537466 3 /var/www/knoxxaibot_v1/node_modules/isarray/.npmignore
DUPTYPE_WITHIN_SAME_TREE -685 2 13 64769 536937 3 /var/www/knoxxaibot_v1/node_modules/option/.npmignore
DUPTYPE_FIRST_OCCURRENCE 4186 4 23 64769 540464 3 /var/www/knoxxaibot_v1/node_modules/form-data-encoder/lib/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556409 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/which/node_modules/isexe/dist/mjs/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556362 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/read/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556406 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/walk-up-path/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556354 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/promise-call-limit/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556370 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/signal-exit/dist/mjs/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556347 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/path-scurry/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556318 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/node-gyp/node_modules/tar/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556301 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/minipass/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556291 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/minipass-fetch/node_modules/minizlib/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556309 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/node-gyp/node_modules/chownr/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556287 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/minimatch/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556312 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/node-gyp/node_modules/minizlib/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556315 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/node-gyp/node_modules/mkdirp/dist/mjs/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556282 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/lru-cache/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 4 23 64769 540553 3 /var/www/knoxxaibot_v1/node_modules/formdata-node/lib/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556321 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/node-gyp/node_modules/yallist/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556213 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/cacache/node_modules/tar/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556335 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/npm-registry-fetch/node_modules/minizlib/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556263 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/jackspeak/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556341 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/package-json-from-dist/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556245 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/glob/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 6 23 64769 556241 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/foreground-child/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556216 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/cacache/node_modules/yallist/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556210 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/cacache/node_modules/mkdirp/dist/mjs/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556207 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/cacache/node_modules/minizlib/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 8 23 64769 556204 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/cacache/node_modules/chownr/dist/esm/package.json
DUPTYPE_WITHIN_SAME_TREE -4186 7 23 64769 556166 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/@isaacs/fs-minipass/dist/esm/package.json
DUPTYPE_FIRST_OCCURRENCE 473 2 25 64769 536783 3 /var/www/knoxxaibot_v1/node_modules/fn.name/.gitattributes
DUPTYPE_WITHIN_SAME_TREE -473 2 25 64769 537106 3 /var/www/knoxxaibot_v1/node_modules/winston-transport/.gitattributes
DUPTYPE_WITHIN_SAME_TREE -473 2 25 64769 537083 3 /var/www/knoxxaibot_v1/node_modules/logform/.gitattributes
DUPTYPE_FIRST_OCCURRENCE 2812 3 25 64769 539247 3 /var/www/knoxxaibot_v1/node_modules/long/umd/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 6 25 64769 556262 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/jackspeak/dist/commonjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 6 25 64769 556244 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/glob/dist/commonjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 4 25 64769 540470 3 /var/www/knoxxaibot_v1/node_modules/form-data-encoder/lib/cjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 6 25 64769 556240 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/foreground-child/dist/commonjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 6 25 64769 556369 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/signal-exit/dist/cjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 8 25 64769 556215 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/cacache/node_modules/yallist/dist/commonjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 8 25 64769 556212 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/cacache/node_modules/tar/dist/commonjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 8 25 64769 556206 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/cacache/node_modules/minizlib/dist/commonjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 6 25 64769 556361 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/read/dist/commonjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 8 25 64769 556203 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/cacache/node_modules/chownr/dist/commonjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 7 25 64769 556165 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/@isaacs/fs-minipass/dist/commonjs/package.json
DUPTYPE_WITHIN_SAME_TREE -2812 6 25 64769 556353 3 /var/www/knoxxaibot_v1/node_modules/npm/node_modules/promise-call-limit/dist/commonjs/package.json
